taxa_name,Common Name,Scientific Name,PHYLUM,CLASS,ORDER,FAMILY,GENUS,Temp,Trophic class,Tolerance,Stream flow,Origin
Balistes capriscus,GRAY TRIGGERFISH,Balistes capriscus,CHORDATA,ACTINOPTERYGII,TETRAODONTIFORMES,BALISTIDAE,BALISTES,,,,,
Brevoortia tyrannus,MENHADEN,Brevoortia tyrannus,CHORDATA,ACTINOPTERYGII,CLUPEIFORMES,CLUPEIDAE,BREVOORTIA,,,,,
Campostoma anomalum,Stoneroller,Campostoma anomalum,CHORDATA,ACTINOPTERYGII,CYPRINIFORMES,CYPRINIDAE,CAMPOSTOMA,,,,,
Caranx bartholomaei,YELLOW JACK,Caranx bartholomaei,CHORDATA,ACTINOPTERYGII,PERCIFORMES,CARANGIDAE,CARANX,,,,,
Carassius auratus,Goldfish,Carassius auratus,CHORDATA,ACTINOPTERYGII,CYPRINIFORMES,CYPRINIDAE,CARASSIUS,W,GF,T,MG,A
Carcharhinus plumbeus,SANDBAR SHARK (BROWN),Carcharhinus plumbeus,CHORDATA,CHONDRICHTHYES,CARCHARHINIFORMES,CARCHARHINIDAE,CARCHARHINUS,,,,,
Catostomus catostomus,Longnose sucker,Catostomus catostomus,CHORDATA,ACTINOPTERYGII,CYPRINIFORMES,CATOSTOMIDAE,CATOSTOMUS,,,,,
Catostomus commersoni,White sucker,Catostomus commersonii,CHORDATA,ACTINOPTERYGII,CYPRINIFORMES,CATOSTOMIDAE,CATOSTOMUS,C-W,GF,T,FD,N
Catostomus commersonii,White sucker,Catostomus commersonii,CHORDATA,ACTINOPTERYGII,CYPRINIFORMES,CATOSTOMIDAE,CATOSTOMUS,C-W,GF,T,FD,N
Centrarchidae,Bluegill X Green,Centrarchidae,CHORDATA,ACTINOPTERYGII,PERCIFORMES,CENTRARCHIDAE,NA,,,,,
Centrarchidae,Bluegill X Pumpkinseed,Centrarchidae,CHORDATA,ACTINOPTERYGII,PERCIFORMES,CENTRARCHIDAE,NA,,,,,
Centrarchidae,Bluegill X Red breast,Centrarchidae,CHORDATA,ACTINOPTERYGII,PERCIFORMES,CENTRARCHIDAE,NA,,,,,
Centrarchidae,Green X Redbreast,Centrarchidae,CHORDATA,ACTINOPTERYGII,PERCIFORMES,CENTRARCHIDAE,NA,,,,,
Centrarchidae,Hybrid sunfish,Centrarchidae,CHORDATA,ACTINOPTERYGII,PERCIFORMES,CENTRARCHIDAE,NA,,,,,
Centrarchidae,Pumpkinseed X Green,Centrarchidae,CHORDATA,ACTINOPTERYGII,PERCIFORMES,CENTRARCHIDAE,NA,,,,,
Centrarchidae,Pumpkinseed X Red breast,Centrarchidae,CHORDATA,ACTINOPTERYGII,PERCIFORMES,CENTRARCHIDAE,NA,,,,,
